model,test_accuracy
8-8-8-8-2-8-8-8,0.6979999542236328
-1--1--1--1-4--1--1--1,0.7663999795913696
2-2-2-2-4-2-2-2,0.7601999640464783
8-8-8-8-4-8-8-8,0.6918999552726746
-1--1--1--1-6--1--1--1,0.7635999917984009
2-2-2-2-6-2-2-2,0.7561999559402466
8-8-8-8-6-8-8-8,0.6883999705314636
-1--1--1--1-8--1--1--1,0.7565000057220459
2-2-2-2-8-2-2-2,0.7520999908447266
-1--1--1--1--1-0--1--1,0.7680000066757202
2-2-2-2-2--1-2-2,0.7633000016212463
2-2-2-2-2-0-2-2,0.762499988079071
8-8-8-8-8--1-8-8,0.6922999620437622
8-8-8-8-8-0-8-8,0.6926000118255615
-1--1--1--1--1-2--1--1,0.7678999900817871
8-8-8-8-8-2-8-8,0.6923999786376953
-1--1--1--1--1-4--1--1,0.7680000066757202
2-2-2-2-2-4-2-2,0.7631999850273132
8-8-8-8-8-4-8-8,0.6900999546051025
-1--1--1--1--1-6--1--1,0.7658999562263489
2-2-2-2-2-6-2-2,0.7599999904632568
8-8-8-8-8-6-8-8,0.6847000122070312
-1--1--1--1--1-8--1--1,0.7626000046730042
2-2-2-2-2-8-2-2,0.7583999633789062
-1--1--1--1--1--1-0--1,0.7678999900817871
2-2-2-2-2-2--1-2,0.7657999992370605
2-2-2-2-2-2-0-2,0.7649999856948853
8-8-8-8-8-8--1-8,0.7059999704360962
8-8-8-8-8-8-0-8,0.7077999711036682
-1--1--1--1--1--1-2--1,0.7651000022888184
8-8-8-8-8-8-2-8,0.7045999765396118
-1--1--1--1--1--1-4--1,0.7646999955177307
2-2-2-2-2-2-4-2,0.7605999708175659
8-8-8-8-8-8-4-8,0.7027999758720398
-1--1--1--1--1--1-6--1,0.7597999572753906
2-2-2-2-2-2-6-2,0.757099986076355
8-8-8-8-8-8-6-8,0.6912999749183655
-1--1--1--1--1--1-8--1,0.7560999989509583
2-2-2-2-2-2-8-2,0.7516999840736389
-1--1--1--1--1--1--1-0,0.7675999999046326
2-2-2-2-2-2-2--1,0.762999951839447
2-2-2-2-2-2-2-0,0.763700008392334
8-8-8-8-8-8-8--1,0.6972999572753906
8-8-8-8-8-8-8-0,0.6970999836921692
-1--1--1--1--1--1--1-2,0.7657999992370605
8-8-8-8-8-8-8-2,0.6947999596595764
-1--1--1--1--1--1--1-4,0.7651000022888184
2-2-2-2-2-2-2-4,0.7610999941825867
8-8-8-8-8-8-8-4,0.6917999982833862
-1--1--1--1--1--1--1-6,0.7663999795913696
2-2-2-2-2-2-2-6,0.7594999670982361
8-8-8-8-8-8-8-6,0.69159996509552
-1--1--1--1--1--1--1-8,0.7576000094413757
2-2-2-2-2-2-2-8,0.751800000667572
